name,team_x,assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,start_hour,minutes,opponent_team,opp_team_name,own_goals,penalties_missed,red_cards,selected,team_a_score,team_h_score,threat,transfers_in,transfers_out,value,was_home,yellow_cards,points,points_after
316,1,0,0,6,0,22.4,2,0,3.1,7.4,14,73,2,2,0,0,0,650688,2.0,2.0,1.0,17347,24725,47,0,0,1,6.0
350,16,0,0,0,0,0.0,0,0,0.0,0.0,20,0,13,15,0,0,0,10352,0.0,1.0,0.0,12,496,42,1,0,0,0.0
16,1,0,0,2,0,0.3,0,0,0.5,5.0,14,16,2,2,0,0,0,12089,2.0,2.0,0.0,2872,895,50,0,0,1,1.0
220,21,0,0,0,0,0.0,0,0,0.0,0.0,16,0,12,14,0,0,0,37596,3.0,3.0,0.0,0,614,40,0,0,0,0.0
377,3,0,0,0,0,0.0,0,0,0.0,0.0,15,0,11,13,0,0,0,64439,1.0,3.0,0.0,233,15973,45,1,0,0,0.0
498,6,0,0,0,0,0.0,0,0,0.0,0.0,14,0,4,4,0,0,0,4952,2.0,3.0,0.0,18,99,43,1,0,0,0.0
491,16,0,1,27,1,17.5,0,0,4.1,11.4,20,90,13,15,0,0,0,65653,0.0,1.0,12.0,10357,2729,43,1,0,7,1.0
161,9,0,0,0,0,0.0,0,0,0.0,0.0,14,0,10,12,0,0,0,2666,3.0,4.0,0.0,114,134,45,0,0,0,1.0
40,14,0,0,0,0,0.0,0,0,0.0,0.0,16,0,17,21,0,0,0,11281,3.0,3.0,0.0,0,75,49,1,0,0,0.0
283,16,1,3,45,1,73.4,0,0,12.4,47.0,20,90,13,15,0,0,0,5102082,0.0,1.0,4.0,52076,118884,70,1,0,12,1.0
226,19,0,0,11,0,0.5,4,0,1.2,11.6,15,65,5,5,0,0,0,10779,0.0,5.0,0.0,2329,843,45,0,0,0,0.0
512,24,1,1,24,0,28.3,1,0,6.7,32.8,14,90,7,7,0,0,0,371191,1.0,1.0,6.0,7558,46395,46,1,1,5,2.0
509,12,0,0,18,0,2.5,3,0,3.2,17.2,14,90,9,9,0,0,0,901671,3.0,4.0,12.0,55254,13985,61,1,0,1,14.0
520,18,0,0,9,0,0.2,0,0,1.9,16.6,17,45,8,8,0,0,0,75204,1.0,0.0,2.0,4339,5648,45,1,0,1,0.0
26,18,0,0,0,0,0.0,0,0,0.0,0.0,17,0,8,8,0,0,0,1568,1.0,0.0,0.0,34,43,45,1,0,0,0.0
437,14,0,0,7,0,12.1,1,0,2.0,4.2,16,17,17,21,0,0,0,32890,3.0,3.0,4.0,851,1864,43,1,0,1,5.0
37,19,0,0,12,0,0.9,5,0,3.2,27.2,15,90,5,5,0,0,0,190348,0.0,5.0,4.0,16084,5277,39,0,0,0,2.0
380,7,0,0,0,0,0.0,0,0,0.0,0.0,14,0,18,24,0,0,0,11306,1.0,1.0,0.0,128,382,44,0,0,0,2.0
448,13,0,0,4,0,4.6,1,0,1.0,3.4,15,14,3,3,0,0,0,10596,1.0,3.0,2.0,75,296,43,0,0,1,1.0
205,0,0,0,3,0,0.0,0,0,0.2,2.0,15,1,19,25,0,0,0,9160,1.0,2.0,0.0,140,276,43,1,0,1,1.0
310,2,0,0,0,0,0.0,0,0,0.0,0.0,14,0,1,1,0,0,0,7439,2.0,2.0,0.0,84,3304,45,1,0,0,0.0
510,8,0,0,22,1,1.4,0,0,2.2,18.6,17,90,15,18,0,0,0,414899,1.0,0.0,2.0,73782,14277,44,0,0,6,6.0
9,13,0,0,0,0,0.0,0,0,0.0,0.0,15,0,3,3,0,0,0,1840,1.0,3.0,0.0,0,20,40,0,0,0,0.0
136,21,0,0,16,0,1.1,3,0,2.3,19.6,16,90,12,14,0,0,0,93372,3.0,3.0,2.0,1120,3136,44,0,1,0,0.0
260,4,0,0,18,0,3.9,3,0,2.6,14.2,14,90,6,6,0,0,0,96734,2.0,3.0,8.0,1753,6686,44,0,0,1,1.0
67,5,0,0,0,0,0.0,0,0,0.0,0.0,15,0,16,19,0,0,0,1188,0.0,5.0,0.0,0,11,40,1,0,0,0.0
79,3,0,0,0,0,0.0,0,0,0.0,0.0,15,0,11,13,0,0,0,22110,1.0,3.0,0.0,1356,680,39,1,0,0,0.0
319,12,0,0,0,0,0.0,0,0,0.0,0.0,14,0,9,9,0,0,0,1695,3.0,4.0,0.0,134,109,40,1,0,0,0.0
206,16,0,0,24,1,1.8,0,0,2.1,7.8,20,90,13,15,0,0,0,729044,0.0,1.0,11.0,100863,11368,41,1,0,6,1.0
27,12,0,0,0,0,0.0,0,0,0.0,0.0,14,0,9,9,0,0,0,254619,3.0,4.0,0.0,155,7626,64,1,0,0,0.0
187,25,0,0,6,0,16.6,2,0,3.7,20.6,15,61,0,0,0,0,0,9894,1.0,2.0,0.0,100,156,44,0,0,1,6.0
348,25,0,0,5,0,12.3,0,0,1.5,2.6,15,28,0,0,0,0,0,19134,1.0,2.0,0.0,392,586,43,0,0,1,1.0
242,25,0,0,0,0,0.0,0,0,0.0,0.0,15,0,0,0,0,0,0,5750,1.0,2.0,0.0,98,102,43,0,0,0,0.0
329,3,0,0,3,0,4.3,0,0,0.7,2.2,15,13,11,13,0,0,0,7498,1.0,3.0,0.0,371,393,44,1,0,1,1.0
74,9,0,0,11,0,0.3,4,0,1.5,14.4,14,90,10,12,0,0,0,19806,3.0,4.0,0.0,313,521,44,0,0,0,6.0
286,12,1,0,28,0,48.3,3,0,9.2,37.8,14,90,9,9,0,0,0,1486768,3.0,4.0,6.0,249251,14878,48,1,0,4,0.0
361,19,0,0,0,0,0.0,0,0,0.0,0.0,15,0,5,5,0,0,0,3320,0.0,5.0,0.0,31,29,43,0,0,0,1.0
43,6,0,0,0,0,0.0,0,0,0.0,0.0,14,0,4,4,0,0,0,966,2.0,3.0,0.0,0,9,40,1,0,0,0.0
394,0,1,0,25,0,16.8,1,0,5.0,27.4,15,90,19,25,0,0,0,1109498,1.0,2.0,6.0,285795,10515,51,1,0,5,1.0
196,13,0,0,11,0,0.7,3,0,1.7,16.6,15,90,3,3,0,0,0,559005,1.0,3.0,0.0,5848,30333,40,0,0,1,0.0
423,13,0,0,0,0,0.0,0,0,0.0,0.0,15,0,3,3,0,0,0,13507,1.0,3.0,0.0,117,858,40,0,0,0,0.0
93,1,0,0,0,0,0.0,0,0,0.0,0.0,14,0,2,2,0,0,0,6029,2.0,2.0,0.0,355,311,45,0,0,0,0.0
